English Name,Botanical Name,Plant Family,Strata,Lifecycle,Time-to-Maturity,Lifespan,Zone,Origin,Function,Spacing,Image Name,Image Prompt
Okra,Abelmoschus esculentus,Malvaceae,Emergent,Placenta 1,3-4 months,Annual,2-11,Africa,Food,50-100 cm,Abelmoschus_esculentus.jpg,"Botanical illustration of Okra (Abelmoschus esculentus) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Okra (Abelmoschus esculentus). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Malvaceae, Strata: Emergent, Lifecycle: Placenta 1, Time to Maturity: 3-4 months, Lifespan: Annual, Zone: 2-11, Origin: Africa, Function: Food, Spacing: 50-100 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Sunset Hibiscus,Abelmoschus manihot,Malvaceae,High,Secondary 1,3-4 months,Perennial,9-11,Southeast Asia,Food,50-100 cm,Abelmoschus_manihot.jpg,"Botanical illustration of Sunset Hibiscus (Abelmoschus manihot) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Sunset Hibiscus (Abelmoschus manihot). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Malvaceae, Strata: High, Lifecycle: Secondary 1, Time to Maturity: 3-4 months, Lifespan: Perennial, Zone: 9-11, Origin: Southeast Asia, Function: Food, Spacing: 50-100 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Sweet Acacia,Acacia farnesiana,Fabaceae,Emergent,Secondary 2,3-5 years,20-30 years,8-11,Americas,Support,3-4 m,Acacia_farnesiana.jpg,"Botanical illustration of Sweet Acacia (Acacia farnesiana) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Sweet Acacia (Acacia farnesiana). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Fabaceae, Strata: Emergent, Lifecycle: Secondary 2, Time to Maturity: 3-5 years, Lifespan: 20-30 years, Zone: 8-11, Origin: Americas, Function: Support, Spacing: 3-4 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Mangium,Acacia mangium,Fabaceae,Emergent,Secondary 2,2-3 years,20-30 years,9-11,Oceania,Support,3-4 m,Acacia_mangium.jpg,"Botanical illustration of Mangium (Acacia mangium) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Mangium (Acacia mangium). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Fabaceae, Strata: Emergent, Lifecycle: Secondary 2, Time to Maturity: 2-3 years, Lifespan: 20-30 years, Zone: 9-11, Origin: Oceania, Function: Support, Spacing: 3-4 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Hollowheart,Acnistus arborescens,Solanaceae,Medium,Climax,3-4 years,20-30 years,9-11,Central America,Support,2-3 m,Acnistus_arborescens.jpg,"Botanical illustration of Hollowheart (Acnistus arborescens) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Hollowheart (Acnistus arborescens). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Solanaceae, Strata: Medium, Lifecycle: Climax, Time to Maturity: 3-4 years, Lifespan: 20-30 years, Zone: 9-11, Origin: Central America, Function: Support, Spacing: 2-3 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Macaw Palm,Acrocomia aculeata,Arecaceae,Emergent,Secondary 2,7-10 years,50-80 years,9-11,Central America,Food,5-7 m,Acrocomia_aculeata.jpg,"Botanical illustration of Macaw Palm (Acrocomia aculeata) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Macaw Palm (Acrocomia aculeata). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Arecaceae, Strata: Emergent, Lifecycle: Secondary 2, Time to Maturity: 7-10 years, Lifespan: 50-80 years, Zone: 9-11, Origin: Central America, Function: Food, Spacing: 5-7 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Century Plant,Agave americana,Asparagaceae,High,Secondary 2,10-15 years,10-30 years,8-11,Central America,Support,2-3 m,Agave_americana.jpg,"Botanical illustration of Century Plant (Agave americana) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Century Plant (Agave americana). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Asparagaceae, Strata: High, Lifecycle: Secondary 2, Time to Maturity: 10-15 years, Lifespan: 10-30 years, Zone: 8-11, Origin: Central America, Function: Support, Spacing: 2-3 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Maguey,Agave angustifolia,Asparagaceae,High,Secondary 2,3-4 years,20-30 years,9-11,Central America,Support,2-3 m,Agave_angustifolia.jpg,"Botanical illustration of Maguey (Agave angustifolia) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Maguey (Agave angustifolia). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Asparagaceae, Strata: High, Lifecycle: Secondary 2, Time to Maturity: 3-4 years, Lifespan: 20-30 years, Zone: 9-11, Origin: Central America, Function: Support, Spacing: 2-3 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Henequen,Agave fourcroydes,Asparagaceae,High,Secondary 2,5-7 years,Up to 30 years,9-11,Central America,Food,1-1.5 m,Agave_fourcroydes.jpg,"Botanical illustration of Henequen (Agave fourcroydes) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Henequen (Agave fourcroydes). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Asparagaceae, Strata: High, Lifecycle: Secondary 2, Time to Maturity: 5-7 years, Lifespan: Up to 30 years, Zone: 9-11, Origin: Central America, Function: Food, Spacing: 1-1.5 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Werckle’s Agave,Agave wercklei,Asparagaceae,High,Secondary 2,3-4 years,20-30 years,10-12,Central America,Support,2-3 m,Agave_wercklei.jpg,"Botanical illustration of Werckle’s Agave (Agave wercklei) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Werckle’s Agave (Agave wercklei). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Asparagaceae, Strata: High, Lifecycle: Secondary 2, Time to Maturity: 3-4 years, Lifespan: 20-30 years, Zone: 10-12, Origin: Central America, Function: Support, Spacing: 2-3 m. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
Chives,Alium Schoenoprasum,Amaryllidaceae,High,Placenta 1,2-3 months,3-5 years,3-9,"Europe, Asia",Food,10-30 cm,Alium_Schoenoprasum.jpg,"Botanical illustration of Chives (Alium Schoenoprasum) in vintage scientific illustration style. Watercolor painting on cream/beige paper background. Show the plant's most characteristic and recognizable features including typical leaf structure, flowers, fruits, seeds, or other distinctive parts as appropriate for this species. Soft, naturalistic watercolor technique with subtle color gradations and delicate linework. Classical botanical art style reminiscent of 18th-19th century herbarium illustrations. Clean composition with the plant as the central focus against a plain warm-toned background. Detailed but gentle rendering, not photorealistic. Educational botanical plate aesthetic. On top of the image include a title: Chives (Alium Schoenoprasum). Include an elegant informational panel or label in the style of vintage botanical plates displaying: Family: Amaryllidaceae, Strata: High, Lifecycle: Placenta 1, Time to Maturity: 2-3 months, Lifespan: 3-5 years, Zone: 3-9, Origin: Europe, Asia, Function: Food, Spacing: 10-30 cm. The text should be rendered in a classic serif typeface as if hand-lettered or typeset on the original illustration."
